units,query_percent,avg_rel_err,avgtime
350,0.001,0.9313,0.0194
350,0.01,0.8967,0.0196
350,0.05,0.8984,0.0195
350,0.1,0.8993,0.0195
400,0.001,0.9324,0.0195
400,0.01,0.8991,0.0196
400,0.05,0.9005,0.0196
400,0.1,0.9002,0.0195
450,0.001,0.9322,0.0196
450,0.01,0.8993,0.0196
450,0.05,0.9006,0.0196
450,0.1,0.9006,0.0196
500,0.001,0.932,0.0195
500,0.01,0.8967,0.0196
500,0.05,0.8987,0.0195
500,0.1,0.8997,0.0196
550,0.001,0.9317,0.0196
550,0.01,0.8966,0.0196
550,0.05,0.8985,0.0197
550,0.1,0.8991,0.0196
600,0.001,0.9305,0.0196
600,0.01,0.8965,0.0197
600,0.05,0.8984,0.0197
600,0.1,0.8995,0.0197
