units,query_percent,avg_rel_err,avgtime
380,0.001,,0.0196
380,0.01,,0.0197
380,0.05,,0.0197
380,0.1,,0.0196
400,0.001,,0.0197
400,0.01,,0.0198
400,0.05,,0.0197
400,0.1,,0.0197
450,0.001,,0.0194
450,0.01,,0.0196
450,0.05,,0.0194
450,0.1,,0.0195
470,0.001,,0.0196
470,0.01,,0.0196
470,0.05,,0.0195
470,0.1,,0.0195
500,0.001,,0.0195
500,0.01,,0.0196
500,0.05,,0.0195
500,0.1,,0.0195
550,0.001,,0.0195
550,0.01,,0.0196
550,0.05,,0.0195
550,0.1,,0.0195
380,0.001,,0.0195
380,0.01,,0.0197
380,0.05,,0.0196
380,0.1,,0.0196
400,0.001,,0.0194
400,0.01,,0.0196
400,0.05,,0.0195
400,0.1,,0.0195
450,0.001,,0.0196
450,0.01,,0.0197
450,0.05,,0.0196
450,0.1,,0.0197
470,0.001,,0.0195
470,0.01,,0.0196
470,0.05,,0.0195
470,0.1,,0.0196
500,0.001,,0.0194
500,0.01,,0.0196
500,0.05,,0.0194
500,0.1,,0.0195
550,0.001,,0.0195
550,0.01,,0.0196
550,0.05,,0.0195
550,0.1,,0.0195
360,0.05,,0.0204
360,0.1,,0.0206
360,0.15,,0.0204
380,0.05,,0.0198
380,0.1,,0.0199
380,0.15,,0.0199
400,0.05,,0.02
400,0.1,,0.0201
400,0.15,,0.0201
440,0.05,,0.02
440,0.1,,0.0201
440,0.15,,0.02
380,0.05,,0.0196
380,0.1,,0.0202
380,0.15,,0.0201
400,0.05,,0.0196
400,0.1,,0.0199
400,0.15,,0.0197
440,0.05,,0.02
440,0.1,,0.0201
440,0.15,,0.02
470,0.05,,0.02
470,0.1,,0.0202
470,0.15,,0.0201
490,0.05,,0.0201
490,0.1,,0.0202
490,0.15,,0.0201
500,0.05,,0.0202
500,0.1,,0.0204
500,0.15,,0.0202
