units,query_percent,avg_rel_err,avgtime
580,0.05,1.0,0.0196
580,0.1,1.0,0.0197
580,0.15,1.0,0.0197
600,0.05,1.0,0.0197
600,0.1,1.0,0.0197
600,0.15,1.0,0.0197
620,0.05,1.0,0.0197
620,0.1,1.0,0.0197
620,0.15,1.0,0.0197
640,0.05,1.0,0.0197
640,0.1,1.0,0.0197
640,0.15,1.0,0.0197
660,0.05,1.0,0.0197
660,0.1,1.0,0.0196
660,0.15,1.0,0.0196
680,0.05,1.0,0.0196
680,0.1,1.0,0.0196
680,0.15,1.0,0.0196
690,0.05,1.0,0.0196
690,0.1,1.0,0.0196
690,0.15,1.0,0.0197
710,0.05,1.0,0.0197
710,0.1,1.0,0.0197
710,0.15,1.0,0.0197
