units,query_percent,avg_rel_err,avgtime
840,0.05,0.9983,0.0199
840,0.1,0.9988,0.0199
840,0.15,0.9991,0.0198
860,0.05,0.9983,0.0198
860,0.1,0.9988,0.0199
860,0.15,0.9991,0.0198
880,0.05,0.9983,0.02
880,0.1,0.9988,0.0198
880,0.15,0.9991,0.0198
900,0.05,0.9983,0.0198
900,0.1,0.9989,0.0198
900,0.15,0.9992,0.0197
920,0.05,0.9984,0.0197
920,0.1,0.9989,0.0205
920,0.15,0.9992,0.0196
950,0.05,0.9983,0.0197
950,0.1,0.9988,0.0198
950,0.15,0.9991,0.0199
960,0.05,0.9983,0.0199
960,0.1,0.9988,0.0199
960,0.15,0.9991,0.0199
980,0.05,0.9983,0.0199
980,0.1,0.9988,0.02
980,0.15,0.9991,0.02
990,0.05,0.9983,0.0199
990,0.1,0.9988,0.0199
990,0.15,0.9991,0.0199
