units,query_percent,avg_rel_err,avgtime
380,0.001,1.0092,0.0195
380,0.01,0.9441,0.0196
380,0.05,0.8942,0.0196
380,0.1,0.9,0.0195
400,0.001,1.012,0.0196
400,0.01,0.9469,0.0197
400,0.05,0.8951,0.0195
400,0.1,0.8991,0.0195
450,0.001,1.0092,0.0195
450,0.01,0.9437,0.0197
450,0.05,0.8956,0.0195
450,0.1,0.899,0.0195
470,0.001,1.0121,0.0195
470,0.01,0.9438,0.0197
470,0.05,0.8924,0.0195
470,0.1,0.8976,0.0195
500,0.001,1.0123,0.0195
500,0.01,0.9454,0.0197
500,0.05,0.8902,0.0195
500,0.1,0.8959,0.0195
550,0.001,1.0119,0.0196
550,0.01,0.9467,0.0197
550,0.05,0.8938,0.0196
550,0.1,0.9009,0.0196
380,0.001,1.0135,0.0195
380,0.01,0.9445,0.0196
380,0.05,0.8942,0.0194
380,0.1,0.8994,0.0195
400,0.001,1.0118,0.0194
400,0.01,0.9449,0.0196
400,0.05,0.8917,0.0194
400,0.1,0.8966,0.0195
450,0.001,1.0149,0.0196
450,0.01,0.9445,0.0198
450,0.05,0.8897,0.0197
450,0.1,0.8967,0.0196
470,0.001,1.0116,0.0197
470,0.01,0.949,0.0198
470,0.05,0.8911,0.0197
470,0.1,0.8984,0.0197
500,0.001,1.0118,0.0196
500,0.01,0.9444,0.0198
500,0.05,0.8954,0.0196
500,0.1,0.8992,0.0198
550,0.001,1.0105,0.0195
550,0.01,0.9435,0.0196
550,0.05,0.8938,0.0195
550,0.1,0.8984,0.0195
350,0.05,0.8913,0.02
350,0.1,0.8978,0.02
350,0.15,0.8986,0.0199
380,0.05,0.8886,0.02
380,0.1,0.8962,0.02
380,0.15,0.8973,0.0199
410,0.05,0.8954,0.02
410,0.1,0.8993,0.0202
410,0.15,0.8997,0.02
440,0.05,0.8874,0.0199
440,0.1,0.8975,0.0202
440,0.15,0.8988,0.02
490,0.05,0.8956,0.0199
490,0.1,0.9009,0.0201
490,0.15,0.9015,0.0199
530,0.05,0.8924,0.02
530,0.1,0.8982,0.0201
530,0.15,0.8988,0.0199
