units,query_percent,avgtime,avg_rel_err
700,0.001,0.0207,0.9001
700,0.01,0.0199,0.9003
700,0.05,0.02,0.8997
700,0.1,0.0201,0.8993
800,0.001,0.0214,0.9002
800,0.01,0.0209,0.9001
800,0.05,0.0195,0.8996
800,0.1,0.0197,0.8996
900,0.001,0.0208,0.8982
900,0.01,0.0198,0.898
900,0.05,0.0196,0.898
900,0.1,0.0196,0.8981
1000,0.001,0.0189,
1000,0.01,0.0191,
1000,0.05,0.0191,
1000,0.1,0.0193,
1100,0.001,0.0197,
1100,0.01,0.0198,
1100,0.05,0.0198,
1100,0.1,0.0199,
1200,0.001,0.0196,0.899
1200,0.01,0.0196,0.899
1200,0.05,0.0196,0.8983
1200,0.1,0.0197,0.8981
500,0.001,0.0198,0.8982
500,0.01,0.0199,0.8985
500,0.05,0.0195,0.8977
500,0.1,0.0196,0.8973
550,0.001,0.0194,0.8987
550,0.01,0.0195,0.899
550,0.05,0.0194,0.8986
550,0.1,0.0194,0.8989
600,0.001,0.0194,0.8997
600,0.01,0.0195,0.9002
600,0.05,0.0194,0.8995
600,0.1,0.0194,0.8993
500,0.001,0.0195,0.9024
500,0.01,0.0196,0.9032
500,0.05,0.0195,0.9025
500,0.1,0.0196,0.9024
550,0.001,0.0195,0.903
550,0.01,0.0196,0.9024
550,0.05,0.0195,0.9016
550,0.1,0.0195,0.9015
600,0.001,0.0195,0.9021
600,0.01,0.0196,0.9022
600,0.05,0.0195,0.9009
600,0.1,0.0196,0.9005
700,0.001,0.0195,0.9016
700,0.01,0.0196,0.9016
700,0.05,0.0196,0.9009
700,0.1,0.0195,0.9005
800,0.001,0.0193,0.9022
800,0.01,0.0195,0.9018
800,0.05,0.0193,0.9015
800,0.1,0.0194,0.9014
900,0.001,0.0196,0.9013
900,0.01,0.0197,0.9016
900,0.05,0.0196,0.9015
900,0.1,0.0197,0.9014
1000,0.001,0.0194,0.9028
1000,0.01,0.0196,0.9023
1000,0.05,0.0194,0.901
1000,0.1,0.0195,0.9006
840,0.05,0.02,0.9005
840,0.1,0.0203,0.8998
840,0.15,0.0201,0.8997
870,0.05,0.0198,0.9005
870,0.1,0.0199,0.9003
870,0.15,0.0198,0.9004
900,0.05,0.0195,0.9024
900,0.1,0.0196,0.9025
900,0.15,0.0195,0.9025
920,0.05,0.0195,0.9011
920,0.1,0.0196,0.9008
920,0.15,0.0195,0.9002
950,0.05,0.0195,0.9013
950,0.1,0.0197,0.9021
950,0.15,0.0195,0.902
960,0.05,0.0195,0.9025
960,0.1,0.0196,0.9024
960,0.15,0.0195,0.9023
970,0.05,0.0194,0.8973
970,0.1,0.0196,0.8974
970,0.15,0.0195,0.8969
